ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,latitude,longitude
5A8,medium_airport,Aleknagik / New Airport,66.0,,US,US-AK,Aleknagik,5A8,WKK,5A8,59.2826004028,-158.617996216
AF-0005,medium_airport,Khost International Airport,4204.0,AS,AF,AF-KHO,Khost,OAKS,KHT,,33.284605,69.80734
AGGH,large_airport,Honiara International Airport,28.0,OC,SB,SB-GU,Honiara,AGGH,HIR,,-9.428,160.054993
AGGM,medium_airport,Munda Airport,10.0,OC,SB,SB-WE,Munda,AGGM,MUA,,-8.32797,157.263
AHJ,medium_airport,Hongyuan Airport,11600.0,AS,CN,CN-51,Ngawa (Hongyuan),ZUHY,AHJ,,32.53154,102.35224
ANYN,medium_airport,Nauru International Airport,22.0,OC,NR,NR-14,Yaren District,ANYN,INU,,-0.547458,166.919006
AQBC,medium_airport,Boulder Clay Runway,672.0,AN,AQ,AQ-U-A,Zucchelli Station,AQBC,,,-74.739373,164.03539
AT03,medium_airport,Concordia Skyway,10725.0,AN,AQ,AQ-U-A,Concordia Station,AT03,,,-75.103278,123.35825
AT28,medium_airport,Vostok Skiway,11447.0,AN,AQ,AQ-U-A,Vostok Station,AT28,,,-78.466139,106.84825
AXF,medium_airport,Alxa Left Banner Bayanhot Airport,4560.0,AS,CN,CN-15,Bayanhot,ZBAL,AXF,,38.74831,105.58858
AYBK,medium_airport,Buka Airport,11.0,OC,PG,PG-NSB,Buka Island,AYBK,BUA,,-5.4223198890686035,154.67300415039062
AYCH,medium_airport,Chimbu Airport,4974.0,OC,PG,PG-CPK,Kundiawa,AYCH,CMU,,-6.024290084838867,144.9709930419922
AYDU,medium_airport,Daru Airport,20.0,OC,PG,PG-WPD,Daru,AYDU,DAU,,-9.08676,143.207993
AYGA,medium_airport,Goroka Airport,5282.0,OC,PG,PG-EHG,Goronka,AYGA,GKA,,-6.081689834590001,145.391998291
AYGN,medium_airport,Gurney Airport,88.0,OC,PG,PG-MBA,Gurney,AYGN,GUR,,-10.3114995956,150.333999634
AYGR,medium_airport,Girua Airport,311.0,OC,PG,PG-NPP,Popondetta,AYGR,PNP,,-8.80453968048,148.309005737
AYHK,medium_airport,Hoskins Airport,66.0,OC,PG,PG-WBK,Kimbe,AYHK,HKN,,-5.463846,150.407327
AYKM,medium_airport,Kerema Airport,10.0,OC,PG,PG-GPK,Kerema,AYKM,KMA,,-7.96361017227,145.770996094
AYKV,medium_airport,Kavieng Airport,7.0,OC,PG,PG-NIK,Kavieng,AYKV,KVG,,-2.57940006256,150.807998657
AYMD,medium_airport,Madang Airport,20.0,OC,PG,PG-MPM,Madang,AYMD,MAG,,-5.20707988739,145.789001465
AYMH,medium_airport,Mount Hagen Kagamuga Airport,5388.0,OC,PG,PG-WHM,Mount Hagen,AYMH,HGU,,-5.828212,144.299412
AYMN,medium_airport,Mendi Airport,5680.0,OC,PG,PG-SHM,Mendi,AYMN,MDU,,-6.14774,143.656998
AYMO,medium_airport,Momote Airport,12.0,OC,PG,PG-MRL,Manus Island,AYMO,MAS,,-2.06189,147.423996
AYNZ,medium_airport,Nadzab Airport,239.0,OC,PG,PG-MPL,Lae,AYNZ,LAE,,-6.569803,146.725977
AYPY,large_airport,Port Moresby Jacksons International Airport,146.0,OC,PG,PG-NCD,Port Moresby,AYPY,POM,,-9.443380355834961,147.22000122070312
AYTK,medium_airport,Tokua Airport,49.0,OC,PG,PG-EBR,Kokopo,AYTK,RAB,,-4.34046,152.380005
AYVN,medium_airport,Vanimo Airport,10.0,OC,PG,PG-SAN,Vanimo,AYVN,VAI,,-2.6926,141.3028
AYWD,medium_airport,Wapenamanda Airport,5889.0,OC,PG,PG-EPW,Wapenamanda,AYWD,WBM,,-5.635293,143.892231
AYWK,medium_airport,Wewak International Airport,19.0,OC,PG,PG-ESW,Wewak,AYWK,WWK,,-3.58383011818,143.669006348
AZ-0001,medium_airport,Zabrat Airport,36.0,AS,AZ,AZ-BA,Baku,UBTT,ZXT,,40.4955422161,49.9768066406
AZ-0013,medium_airport,Sitalchay Airbase,-46.0,AS,AZ,AZ-XIZ,Sitalchay,,,,40.807313,49.431481
AZ-0021,medium_airport,Qizilagach Air Base,,AS,AZ,AZ-MAS,Qizilagach,,,,39.006162,48.806312
BCW,medium_airport,Benguera Island Airport,,AF,MZ,MZ-I,Benguera Island,,BCW,,-21.853300094604492,35.43830108642578
BG-JAM,medium_airport,Bezmer Air Base,509.0,EU,BG,BG-28,Yambol,LBIA,JAM,,42.4548988342,26.3521995544
BGAA,medium_airport,Aasiaat Airport,74.0,,GL,GL-QK,Aasiaat,BGAA,JEG,,68.721802,-52.784698
BGBW,medium_airport,Narsarsuaq Airport,112.0,,GL,GL-KU,Narsarsuaq,BGBW,UAK,,61.1605,-45.425999
BGGH,medium_airport,Nuuk Airport,283.0,,GL,GL-SE,Nuuk,BGGH,GOH,,64.193022,-51.676512
BGKK,medium_airport,Kulusuk Airport,117.0,,GL,GL-SE,Kulusuk,BGKK,KUS,,65.573601,-37.1236
BGSF,medium_airport,Kangerlussuaq Airport,165.0,,GL,GL-QA,Kangerlussuaq,BGSF,SFJ,,67.010446,-50.715294
BGSS,medium_airport,Sisimiut Airport,33.0,,GL,GL-QA,Sisimiut,BGSS,JHS,,66.951302,-53.729301
BGTL,medium_airport,Thule Air Base,251.0,,GL,GL-AV,Pituffik,BGTL,THU,,76.531197,-68.703201
BIAR,medium_airport,Akureyri Airport,6.0,EU,IS,IS-6,Akureyri,BIAR,AEY,,65.66000366210938,-18.07270050048828
